STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGWEALTH,General government financial wealth,TOT,Total,PC_GDP,% of GDP,A,Annual,2018,,-121.2366,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,RECULTREL,"Recreation, culture and religion",PC_GDP,% of GDP,A,Annual,2018,,0.383953365,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,FIXWIRED,Fixed broadband subscriptions,TOT,Total,100HAB,Per 100 inhabitants,A,Annual,2022,,45.431,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,FIXWIRED,Fixed broadband subscriptions,DSL,DSL,100HAB,Per 100 inhabitants,A,Annual,2022,,0.37,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,FIXWIRED,Fixed broadband subscriptions,CABLE,Cable,NBR,Number,A,Annual,2022,,2412531,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,FIXWIRED,Fixed broadband subscriptions,TOT,Total,NBR,Number,A,Annual,2022,,44581256,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,FIXWIRED,Fixed broadband subscriptions,FIBRE,Fibre/LAN,100HAB,Per 100 inhabitants,A,Annual,2022,,39.997,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,HEALTH,Health,PC_GDP,% of GDP,A,Annual,2021,,9.196105496,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,TWN,Chinese Taipei,RESEARCHER,Researchers,WOMEN,Women,PC_RESEARCHER,% of total researchers,A,Annual,2020,,22.88159657,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,RESEARCHER,Researchers,WOMEN,Women,PC_RESEARCHER,% of total researchers,A,Annual,2020,,17.47393683,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GGEXP,General government spending,ENVPROT,Environmental protection,PC_GDP,% of GDP,A,Annual,2021,,1.154102457,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,JPN,Japan,GOVRESEARCHER,Government researchers,WOMEN,Women,PC_NATIONAL,% of national total,A,Annual,2021,,20.92265082,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,KOR,Korea,GGEXP,General government spending,ECOAFF,Economic affairs,PC_GDP,% of GDP,A,Annual,2021,,5.818435116,,A,,,,,,,
