Year,Entity,Renewables (% equivalent primary energy)
2015,China,10.787498
2016,China,11.530947
2017,China,12.138821
2018,China,12.807393
2019,China,13.51596
2020,China,14.242872
2021,China,14.946244
2015,Japan,8.068797
2016,Japan,7.9758606
2017,Japan,8.634004
2018,Japan,9.322305
2019,Japan,9.565927
2020,Japan,11.155339
2021,Japan,11.428995
2015,Korea,1.904119
2016,Korea,2.026812
2017,Korea,2.4301844
2018,Korea,2.7460184
2019,Korea,2.9800334
2020,Korea,3.1428554
2021,Korea,3.7249858
2015,Taiwan,1.8325284
2016,Taiwan,2.2558503
2017,Taiwan,2.1802807
2018,Taiwan,2.1791105
2019,Taiwan,2.7165449
2020,Taiwan,2.7744627
2021,Taiwan,3.0361571
