Year,Entity,Code,Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh
2015,China,CHN,54.07029,39.48057,185.59145,1114.5154
2016,China,CHN,62.134766,66.52795,240.8605,1153.2675
2017,China,CHN,79.59891,117.8,304.6,1165.065
2018,China,CHN,93.72523,176.9,365.8,1198.887
2019,China,CHN,112.72523,224.0,405.3,1272.538
2020,China,CHN,135.625,261.1,466.5,1321.709
2021,China,CHN,169.93158,327.0,655.6,1300.0
2015,Japan,JPN,28.485174,34.540173,5.2228065,85.765114
2016,Japan,JPN,23.670853,43.32569,5.340769,79.42587
2017,Japan,JPN,27.389729,54.24169,5.8271704,79.29134
2018,Japan,JPN,30.131918,62.11436,6.4448814,81.10679
2019,Japan,JPN,32.15621,67.746254,6.748665,73.64051
2020,Japan,JPN,34.80145,75.13509,7.819281,77.414116
2021,Japan,JPN,35.75764,86.26627,8.249907,77.63623
2015,Korea,KOR,11.745787,4.229723,1.342439,2.1457193
2016,Korea,KOR,11.736701,5.515817,1.6831422,2.8462753
2017,Korea,KOR,14.238496,7.737852,2.1690142,2.8088205
2018,Korea,KOR,14.556831,10.154964,2.464879,3.359418
2019,Korea,KOR,13.684058,14.16304,2.679158,2.788679
2020,Korea,KOR,8.608856,19.297853,3.149798,3.8772297
2021,Korea,KOR,15.214928,21.81574,3.166891,3.055118
2015,Taiwan,TWN,1.9383065,0.85026795,1.5252357,4.470146
2016,Taiwan,TWN,1.9036957,1.1090046,1.4571018,6.562041
2017,Taiwan,TWN,1.8582038,1.6674529,1.7224586,5.446815
2018,Taiwan,TWN,1.9685836,2.71208,1.7071841,4.481584
2019,Taiwan,TWN,1.9841806,4.0159483,1.8922317,5.544796
2020,Taiwan,TWN,1.9713054,6.0746737,2.3088717,3.0191524
2021,Taiwan,TWN,1.980124,7.920296,2.2420712,3.4688082
